Defect_ID,Screen,Component,Severity,Category,Title,Description,Reproduction_Steps,Root_Cause,Impact,Status
DEF-001,Workflows,Table,High,UX Issue,Empty state table headers remain visible when no workflows exist,"The Workflows screen shows table headers (Name, Family, Status, Version, Last Promotion) even when the empty state is displayed, creating visual confusion about whether the table is actually empty or just loading.",1. Navigate to Workflows screen with empty database 2. Observe empty state card 3. Check if table headers are visible below/above empty state message,Missing CSS rule to hide table headers during empty state,Users may be confused about the actual table state and whether content is loading,Unresolved
DEF-002,Workflows,Search Box,Medium,UX Issue,Search box not clearly disabled during loading state,"When the Workflows screen is loading, the search box appears grayed but doesn't have a clear visual indicator (no tooltip/disabled attribute) that searching is unavailable.",1. Refresh Workflows page 2. Immediately try typing in search box during skeleton load 3. Observe search box behavior,Missing accessibility attributes and visual feedback styling,Users may attempt searches during load and experience unexpected behavior,Unresolved
DEF-003,Workflows,Bulk Actions,Medium,UX Issue,Bulk action toolbar position inconsistent,"Documentation shows bulk actions appearing 'above or below table' but actual behavior is unclear - position relative to selected rows is not specified.",1. Navigate to Workflows 2. Load table with 20+ workflows 3. Select multiple rows 4. Observe toolbar position 5. Scroll table 6. Check if toolbar remains visible,Missing specification and implementation detail,Users may miss bulk actions if toolbar is positioned off-screen or scrolls out of view,Unresolved
DEF-004,Analytics,Export,High,Feature Gap,Export functionality shows format dropdown but no error handling for export failures,"The export state (5.5) shows 'Exporting...' spinner, but State 5.6 doesn't document timeout behavior or what happens if export fails mid-process.",1. Navigate to Analytics 2. Select CSV export 3. Kill network connection during export 4. Observe UI behavior,No explicit error recovery flow for mid-export failures,User may see spinner indefinitely or get stuck without retry option,Unresolved
DEF-005,Channels,WhatsApp Link,High,API Issue,OAuth timeout handling missing in documentation,"The WhatsApp linking modal specifies 5-minute timeout, but actual behavior when timeout occurs is not documented (does modal close? Show error? Retry available?)",1. Navigate to Channels 2. Click 'Link WhatsApp' 3. Wait 5+ minutes without completing OAuth 4. Observe result,Unclear error handling for OAuth flow timeout,User experience during timeout is unpredictable - may confuse user if modal suddenly closes,Unresolved
DEF-006,Channels,Telegram,Medium,Security Issue,Telegram bot token displayed partially masked ('123456:ABC***XYZ') but masking algorithm not specified,"If token has special characters, masking may fail or expose sensitive data incorrectly.",1. Link Telegram bot with complex token 2. View channel details 3. Check if token masking is consistent,Insufficient input validation for token masking,Token could be partially exposed if special characters break masking logic,Unresolved
DEF-007,Workflow Editor,Canvas,High,UX Issue,Unsaved changes detection doesn't account for node drag operations,"Sidebar shows 'Unsaved changes' badge only after explicit node property edits, but doesn't detect when user drags/repositions nodes on canvas without changing properties.",1. Open workflow in editor 2. Load existing workflow with nodes 3. Drag node to different position on canvas 4. Check 'Unsaved changes' indicator,Canvas drag operation doesn't trigger change detection listener,Users may lose node position changes if they navigate away or page reloads,Unresolved
DEF-008,Workflow Editor,Save,High,Error Handling,Save error doesn't provide retry mechanism with backoff,"State 8.10 shows save error banner with 'Retry' button, but no exponential backoff is implemented for rapid retries.",1. Navigate to Workflow Editor 2. Make changes 3. Click Save 4. Interrupt network 5. Click Retry immediately 6. Retry again immediately,Missing rate limiting and backoff implementation on retry button,Rapid retries may overwhelm backend or create duplicate entries,Unresolved
DEF-009,Workflow Editor,Publish,Medium,UX Issue,Publish button accessibility unclear when workflow has multiple versions,"Documentation doesn't specify if 'Publish workflow for live use' modal should show version selection or if it always publishes the currently edited version.",1. Open workflow with 5+ versions 2. Edit current version 3. Look for Publish button 4. Click Publish 5. Check which version is being promoted,Ambiguous requirements around version selection in publish flow,User may accidentally promote wrong version to production,Unresolved
DEF-010,Agents,Type Filter,Medium,UX Issue,Filter dropdown doesn't persist selected value after page reload,"State 2.4 shows filter dropdown as 'All Types', 'AI Agents', 'Human Agents', but doesn't specify if selection persists in URL/localStorage after page refresh.",1. Navigate to Agents 2. Filter to 'AI Agents' 3. Refresh page 4. Check if filter reverts to 'All Types',Missing filter state persistence implementation,User must re-apply filters on each page visit,Unresolved
DEF-011,Skills,Search,Medium,UX Issue,Search results pagination not specified in documentation,"State 3.5 shows real-time search filtering, but doesn't specify if results are paginated. If 1000+ skills match search, UI behavior is undefined.",1. Navigate to Skills 2. Create 100+ test skills 3. Search for common name 4. Observe result pagination,Undefined pagination behavior for large search result sets,Poor performance if all matching skills are rendered at once,Unresolved
DEF-012,Demo Routes,Partial Results,Medium,Error Handling,Timeout handler doesn't specify which routes completed successfully,"State 7.6 shows 'Validation timed out after 30 seconds, partial results shown' but doesn't clarify if results table shows passed routes with status indicator.",1. Navigate to Demo Routes 2. Click 'Run Validation' 3. Wait for partial timeout 4. Check if failed routes are marked as 'Timeout' vs missing,Unclear status distinction for timed-out routes,User cannot determine which routes need re-testing,Unresolved
DEF-013,Tenants,Delete Confirmation,High,Data Loss Risk,Delete confirmation doesn't show tenant user count or last activity date,"State 6.6 requires typing 'DELETE' but doesn't show tenant context (user count, last login, data volume) to prevent accidental deletion of active tenants.",1. Navigate to Tenants (admin only) 2. Select active tenant with users 3. Click Delete 4. Check confirmation modal content,Missing contextual information in confirmation dialog,Operator may accidentally delete active tenant with users,Unresolved
DEF-014,All Screens,Error Banner,Medium,UX Issue,Error banner doesn't auto-dismiss and may be missed by users,"All screens have persistent error banners (States 1.6, 2.6, etc.) without auto-dismiss timeout, but no documentation on how users are notified.",1. Trigger API error (disconnect network) 2. Observe error banner 3. Leave page for 5 minutes 4. Return to page,Missing auto-dismiss timer or notification pattern for errors,User may miss critical error messages if focused on other UI elements,Unresolved
DEF-015,All Screens,Loading Skeletons,Medium,UX Issue,Skeleton animation duration varies (500ms-2s per documentation) without explanation,"State X.2 (All screens) shows loading skeletons with duration '500ms-2s', but no logic is documented for when each duration is used.",1. Navigate to different screens 2. Refresh rapidly 3. Time skeleton duration across screens,Inconsistent loading state timing logic,User perceives some screens as 'sluggish' compared to others,Unresolved
DEF-016,Authentication,Token Expiry,High,Security Issue,Token expiry warning not documented,"Auth flow shows 24-hour expiry but no warning is shown before token expires. User may be suddenly logged out without notice.",1. Authenticate as admin 2. Wait near 24-hour mark 3. Check if warning appears before logout,Missing pre-expiry notification implementation,User loses work if working near token expiry without saving,Unresolved
DEF-017,Authentication,Bootstrap Redirect,Medium,UX Issue,Bootstrap redirect destination not validated against referrer,"Auth flow shows '?redirect=/ui/workflows' parameter, but no validation prevents malicious redirects to external sites (open redirect vulnerability).",1. Call /dev/auth/bootstrap/admin?redirect=https://evil.com 2. Check if user is redirected off-site,Missing URL validation in redirect parameter,Potential security vulnerability allowing phishing attacks,Unresolved
DEF-018,Workflows,Sort Indicator,Medium,UX Issue,Sort direction indicators not specified in detail,"State 1.3 shows 'sort indicators (▲/▼)' but doesn't specify which column defaults to sorted, or if multi-column sort is supported.",1. Navigate to Workflows 2. Load table 3. Check initial sort column 4. Click header A then B 5. Observe sort behavior,Ambiguous sort behavior documentation,Users may misunderstand sort order or default sorting,Unresolved
DEF-019,Forms,Validation,Medium,UX Issue,Form error messages lack clear positioning relative to fields,"Component documentation shows 'error state' but doesn't specify if errors appear above/below/inside field, or if error summary is shown.",1. Open any form (Create Workflow/Agent/Skill) 2. Submit with invalid data 3. Check error message positioning,Missing form error layout specification,Users may not immediately see which field has an error,Unresolved
DEF-020,All Screens,Pagination,Medium,UX Issue,Jump-to-page input doesn't specify validation or bounds checking,"State 1.8 shows pagination with 'option to jump to specific page', but doesn't document behavior if user enters page 999 when only 5 pages exist.",1. Navigate to paginated list (Workflows) 2. Type invalid page number in jump field 3. Observe validation,No explicit validation logic for jump-to-page input,User may see empty results or error if invalid page entered,Unresolved
DEF-021,Channels,OAuth Callback,High,API Issue,OAuth callback URI validation not documented,"WhatsApp/Telegram OAuth flows don't specify what callback URI is expected, making integration testing difficult.",1. Attempt to link WhatsApp 2. Capture OAuth redirect URL 3. Check if callback URI matches backend expectation,Ambiguous OAuth callback URI specification,Integration issues with WhatsApp/Telegram OAuth providers possible,Unresolved
